A	(A)[N]
Rechthaberei	(((recht)[A])[N],(hab)[V],(erei)[N|NV.])[N]
rechthaberisch	((recht)[A],(hab)[V],(erisch)[A|AV.])[A]
rechtlaeufig	((recht)[A],((lauf)[V])[N],(ig)[A|AN.])[A]
rechtlich	(((recht)[A])[N],(lich)[A|N.])[A]
Rechtlichkeit	((((recht)[A])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
rechtlos	(((recht)[A])[N],(los)[A|N.])[A]
Rechtlosigkeit	((((recht)[A])[N],(los)[A|N.])[A],(igkeit)[N|A.])[N]
rechtmaessig	((recht)[A],(maessig)[A|A.])[A]
Rechtmaessigkeit	(((recht)[A],(maessig)[A|A.])[A],(keit)[N|A.])[N]
rechts	((recht)[A],(s)[B|A.])[B]
Rechtsangelegenheit	(((recht)[A])[N],(s)[N|N.N],(((angelegen)[F])[A],(heit)[N|A.])[N])[N]
Rechtsanwalt	(((recht)[A])[N],(s)[N|N.N],(Anwalt)[N])[N]
Rechtsanwaeltin	((((recht)[A])[N],(s)[N|N.N],(Anwalt)[N])[N],(in)[N|N.])[N]
Rechtsaussen	(((recht)[A],(s)[B|A.])[B],(((aus)[P],(en)[B|P.])[B])[N])[N]
Rechtsbeistand	(((recht)[A])[N],(s)[N|N.N],(((bei)[V|.V],(steh)[V])[V])[N])[N]
rechtschaffen	(((recht)[A])[N],(schaffen)[F])[A]
Rechtschaffenheit	((((recht)[A])[N],(schaffen)[F])[A],(heit)[N|A.])[N]
rechtschreiben	((recht)[A],(schreib)[V])[V]
rechtschreiblich	(((recht)[A],(schreib)[V])[V],(lich)[A|V.])[A]
Rechtschreibung	(((recht)[A],(schreib)[V])[V],(ung)[N|V.])[N]
Rechtsempfinden	(((recht)[A])[N],(s)[N|N.N],((empfinden)[F])[N])[N]
rechtsextrem	(((recht)[A],(s)[B|A.])[B],(extrem)[A])[A]
rechtsfaehig	(((recht)[A])[N],(s)[A|N.A],(faehig)[A])[A]
Rechtsfall	(((recht)[A])[N],(s)[N|N.N],((fall)[V])[N])[N]
Rechtsgang	(((recht)[A])[N],(s)[N|N.N],((geh)[V])[N])[N]
rechtsgelehrt	(((recht)[A])[N],(s)[A|N.A],((gelehrt)[F])[A])[A]
Rechtsgelehrte	((Rechtsgelehrte)[F])[N]
Rechtsgeschichte	(((recht)[A])[N],(s)[N|N.N],((gescheh)[V],(te)[N|V.])[N])[N]
rechtsgueltig	(((recht)[A])[N],(s)[A|N.A],((gelt)[V],(ig)[A|V.])[A])[A]
Rechtsgueltigkeit	((((recht)[A])[N],(s)[A|N.A],((gelt)[V],(ig)[A|V.])[A])[A],(keit)[N|A.])[N]
Rechtshaender	(((recht)[A],(s)[B|A.])[B],(Hand)[N],(er)[N|BN.])[N]
rechtshaendig	(((recht)[A],(s)[B|A.])[B],(Hand)[N],(ig)[A|BN.])[A]
Rechtshaendigkeit	((((recht)[A],(s)[B|A.])[B],(Hand)[N],(ig)[A|BN.])[A],(keit)[N|A.])[N]
rechtsher	(((recht)[A],(s)[B|A.])[B],(her)[B])[B]
rechtsherum	(((recht)[A],(s)[B|A.])[B],((her)[B],(um)[P])[B])[B]
Rechtshilfe	(((recht)[A])[N],(s)[N|N.N],((helf)[V])[N])[N]
rechtshin	(((recht)[A],(s)[B|A.])[B],(hin)[B])[B]
Rechtskraft	(((recht)[A])[N],(s)[N|N.N],(Kraft)[N])[N]
rechtskraeftig	((((recht)[A])[N],(s)[N|N.N],(Kraft)[N])[N],(ig)[A|N.])[A]
rechtskundig	(((recht)[A])[N],(s)[A|N.A],(((Kunde)[N])[V],(ig)[A|V.])[A])[A]
Rechtslage	(((recht)[A])[N],(s)[N|N.N],(Lage)[N])[N]
Rechtslehre	(((recht)[A])[N],(s)[N|N.N],((lehr)[V],(e)[N|V.])[N])[N]
Rechtspartei	(((recht)[A])[N],(s)[N|N.N],(Partei)[N])[N]
Rechtsprechung	(((recht)[A])[N],(sprech)[V],(ung)[N|NV.])[N]
rechtsradikal	(((recht)[A],(s)[B|A.])[B],((Radix)[N],(al)[A|N.])[A])[A]
rechtsrheinisch	(((recht)[A],(s)[B|A.])[B],((Rhein)[N],(isch)[A|N.])[A])[A]
Rechtsschutz	(((recht)[A])[N],(s)[N|N.N],((schuetz)[V])[N])[N]
rechtsseitig	(((recht)[A],(s)[B|A.])[B],(Seite)[N],(ig)[A|BN.])[A]
Rechtsstaat	(((recht)[A])[N],(s)[N|N.N],(Staat)[N])[N]
rechtsstaatlich	((((recht)[A])[N],(s)[N|N.N],(Staat)[N])[N],(lich)[A|N.])[A]
Rechtsstellung	(((recht)[A])[N],(s)[N|N.N],((stell)[V],(ung)[N|V.])[N])[N]
rechtsufrig	(((recht)[A],(s)[B|A.])[B],(Ufer)[N],(ig)[A|BN.])[A]
rechtsum	(((recht)[A],(s)[B|A.])[B],(um)[P])[B]
rechtsverbindlich	(((recht)[A])[N],(s)[A|N.A],(((ver)[V|.V],(bind)[V])[V],(lich)[A|V.])[A])[A]
Rechtsverfahren	(((recht)[A])[N],(s)[N|N.N],((verfahren)[F])[N])[N]
Rechtsverletzung	(((recht)[A])[N],(s)[N|N.N],((verletz)[V],(ung)[N|V.])[N])[N]
rechtswidrig	(((recht)[A])[N],(s)[A|N.A],(widrig)[A])[A]
Rechtswissenschaft	(((recht)[A])[N],(s)[N|N.N],(((wissen)[F])[N],(schaft)[N|N.])[N])[N]
rechtwinkelig	((recht)[A],(Winkel)[N],(ig)[A|AN.])[A]
rechtwinklig	(((recht)[A])[N],(Winkel)[N],(ig)[A|NN.])[A]
rechtzeitig	((recht)[A],((Zeit)[N],(ig)[A|N.])[A])[A]
recken	(reck)[V]
Reck	(Reck)[N]
Recke	(Recke)[N]
reckenhaft	((Recke)[N],(n)[A|N.x],(haft)[A|Nx.])[A]
Reckstange	((Reck)[N],(Stange)[N])[N]
reden	(red)[V]
Redakteur	((redakt)[R],(eur)[N|R.])[N]
Redakteurin	(((redakt)[R],(eur)[N|R.])[N],(in)[N|N.])[N]
Redaktion	((redakt)[R],(ion)[N|R.])[N]
redaktionell	(((redakt)[R],(ion)[N|R.])[N],(ell)[A|N.])[A]
Redaktionsschluss	(((redakt)[R],(ion)[N|R.])[N],(s)[N|N.N],((schliess)[V])[N])[N]
Redaktor	((redakt)[R],(or)[N|R.])[N]
Rede	((red)[V],(e)[N|V.])[N]
Redefreiheit	((red)[V],(e)[N|V.N],((frei)[A],(heit)[N|A.])[N])[N]
redegewandt	((red)[V],(e)[A|V.A],((gewandt)[F])[A])[A]
Redekunst	((red)[V],(e)[N|V.N],(Kunst)[N])[N]
Redensart	((reden)[F],(s)[N|F.N],(Art)[N])[N]
redensartlich	(((reden)[F],(s)[N|F.N],(Art)[N])[N],(lich)[A|N.])[A]
Rederei	((red)[V],(erei)[N|V.])[N]
Redeschwall	((red)[V],(e)[N|V.N],((schwell)[V])[N])[N]
Redewendung	(((red)[V],(e)[N|V.])[N],((((Wind)[N])[V])[V],(ung)[N|V.])[N])[N]
redlich	(((red)[V],(e)[N|V.])[N],(lich)[A|N.])[A]
Redlichkeit	((((red)[V],(e)[N|V.])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Redner	((red)[V],(ner)[N|V.])[N]
rednerisch	(((red)[V],(ner)[N|V.])[N],(isch)[A|N.])[A]
redselig	((red)[V],(selig)[A])[A]
Redseligkeit	(((red)[V],(selig)[A])[A],(keit)[N|A.])[N]
redundant	((redund)[R],(ant)[A|R.])[A]
Redundanz	((redund)[R],(anz)[N|R.])[N]
Reduplikation	((re)[N|.N],((dupliz)[R],(ation)[N|R.])[N])[N]
reduplizieren	((re)[V|.V],((dupliz)[R],(ier)[V|R.])[V])[V]
Reduzierung	((reduzier)[V],(ung)[N|V.])[N]
Reede	(Reede)[N]
Reeder	((Reede)[N],(er)[N|N.])[N]
Reederei	((Reede)[N],(erei)[N|N.])[N]
Reedereiflagge	(((Reede)[N],(erei)[N|N.])[N],(Flagge)[N])[N]
Reep	(Reep)[N]
Reeperbahn	((Reep)[N],(er)[N|N.N],(Bahn)[N])[N]
Referat	((refer)[R],(at)[N|R.])[N]
Referendar	((refer)[R],(endar)[N|R.])[N]
Referendum	((refer)[R],(endum)[N|R.])[N]
Referent	((refer)[R],(ent)[N|R.])[N]
Referentin	(((refer)[R],(ent)[N|R.])[N],(in)[N|N.])[N]
Referenz	((refer)[R],(enz)[N|R.])[N]
referieren	((refer)[R],(ier)[V|R.])[V]
Reflektant	((reflekt)[R],(ant)[N|R.])[N]
reflektieren	((reflekt)[R],(ier)[V|R.])[V]
Reflektor	((reflekt)[R],(or)[N|R.])[N]
reflektorisch	((reflekt)[R],(orisch)[A|R.])[A]
Reflex	((reflekt)[R])[N]
Reflexbewegung	(((reflekt)[R])[N],((beweg)[V],(ung)[N|V.])[N])[N]
Reflexion	((reflekt)[R],(ion)[N|R.])[N]
reflexiv	((reflekt)[R],(iv)[A|R.])[A]
Reflexivpronomen	(((reflekt)[R],(iv)[A|R.])[A],((pro)[N|.N],(Nomen)[N])[N])[N]
Reformation	((Reform)[N],(ation)[N|N.])[N]
Reformator	((Reform)[N],(ator)[N|N.])[N]
reformatorisch	((Reform)[N],(atorisch)[A|N.])[A]
reformbeduerftig	((Reform)[N],(((be)[V|.V],(duerf)[V])[V],(tig)[A|V.])[A])[A]
reformerisch	((Reform)[N],(erisch)[A|N.])[A]
reformfreudig	((Reform)[N],(freudig)[A|N.])[A]
Reformhaus	((Reform)[N],(Haus)[N])[N]
reformieren	((Reform)[N],(ier)[V|N.])[V]
Reformierte	((Reformierte)[F])[N]
Reformierung	(((Reform)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
Reformismus	((Reform)[N],(ismus)[N|N.])[N]
Reformist	((Reform)[N],(ist)[N|N.])[N]
reformistisch	((Reform)[N],(istisch)[A|N.])[A]
refraktaer	((refrakt)[R],(ar)[A|R.])[A]
Refraktion	((refrakt)[R],(ion)[N|R.])[N]
Refraktor	((refrakt)[R],(or)[N|R.])[N]
refundieren	((re)[V|.V],(fundier)[V])[V]
regen	(reg)[V]
Regal	(Regal)[N]
regalieren	((Regal)[N],(ier)[V|N.])[V]
rege	((reg)[V])[A]
regeln	((Regel)[N])[V]
Regel	(Regel)[N]
regelbar	(((Regel)[N])[V],(bar)[A|V.])[A]
Regelblutung	((Regel)[N],(((Blut)[N])[V],(ung)[N|V.])[N])[N]
regellos	((Regel)[N],(los)[A|N.])[A]
regelmaessig	((Regel)[N],((Mass)[N],(ig)[A|N.])[A])[A]
Regelmaessigkeit	(((Regel)[N],((Mass)[N],(ig)[A|N.])[A])[A],(keit)[N|A.])[N]
regelrecht	((Regel)[N],(recht)[A])[A]
Regelung	(((Regel)[N])[V],(ung)[N|V.])[N]
regelwidrig	((Regel)[N],(widrig)[A])[A]
Regelwidrigkeit	(((Regel)[N],(widrig)[A])[A],(keit)[N|A.])[N]
Regen	(Regen)[N]
regenarm	((Regen)[N],(arm)[A])[A]
Regenbogen	((Regen)[N],((bieg)[V])[N])[N]
Regenbogenhaut	(((Regen)[N],((bieg)[V])[N])[N],(Haut)[N])[N]
Regendach	((Regen)[N],(Dach)[N])[N]
regendicht	((Regen)[N],(dicht)[A])[A]
Regenerat	((regener)[R],(at)[N|R.])[N]
Regeneration	((regener)[R],(ation)[N|R.])[N]
Regenerator	((regener)[R],(ator)[N|R.])[N]
regenerieren	((regener)[R],(ier)[V|R.])[V]
Regenfall	((Regen)[N],((fall)[V])[N])[N]
Regenguss	((Regen)[N],((giess)[V])[N])[N]
Regenmantel	((Regen)[N],(Mantel)[N])[N]
regennass	((Regen)[N],(nass)[A])[A]
Regenschauer	((Regen)[N],(Schauer)[N])[N]
Regenschirm	((Regen)[N],(Schirm)[N])[N]
regenschwer	((Regen)[N],(schwer)[A])[A]
Regent	((reg)[R],(ent)[N|R.])[N]
Regentag	((Regen)[N],(Tag)[N])[N]
Regentonne	((Regen)[N],(Tonne)[N])[N]
Regentropfen	((Regen)[N],(Tropfen)[N])[N]
Regentschaft	(((reg)[R],(ent)[N|R.])[N],(schaft)[N|N.])[N]
Regenzeit	((Regen)[N],(Zeit)[N])[N]
Regie	((reg)[R],(ie)[N|R.])[N]
Regieassistent	(((reg)[R],(ie)[N|R.])[N],((assist)[R],(ent)[N|R.])[N])[N]
regieren	((reg)[R],(ier)[V|R.])[V]
Regiererei	(((reg)[R],(ier)[V|R.])[V],(erei)[N|V.])[N]
Regierung	(((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
Regierungsbezirk	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Bezirk)[N])[N]
regierungsfreundlich	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[A|N.A],((Freund)[N],(lich)[A|N.])[A])[A]
Regierungskoalition	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],((koal)[R],(ition)[N|R.])[N])[N]
Regierungspartei	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Partei)[N])[N]
Regierungssitz	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],((sitz)[V])[N])[N]
Regierungssprecher	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],((sprech)[V],(er)[N|V.])[N])[N]
Regierungszeit	((((reg)[R],(ier)[V|R.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Zeit)[N])[N]
Regiment	((reg)[R],(iment)[N|R.])[N]
Regimentsarzt	(((reg)[R],(iment)[N|R.])[N],(s)[N|N.N],(Arzt)[N])[N]
Regimentskommandeur	(((reg)[R],(iment)[N|R.])[N],(s)[N|N.N],((kommand)[R],(eur)[N|R.])[N])[N]
Region	((reg)[R],(ion)[N|R.])[N]
regional	(((reg)[R],(ion)[N|R.])[N],(al)[A|N.])[A]
Regionalismus	((((reg)[R],(ion)[N|R.])[N],(al)[A|N.])[A],(ismus)[N|A.])[N]
Regionalliga	((((reg)[R],(ion)[N|R.])[N],(al)[A|N.])[A],(Liga)[N])[N]
Registerhalten	((Register)[N],(halten)[F])[N]
Registertonne	((Register)[N],(Tonne)[N])[N]
Registrator	((Register)[N],(ator)[N|N.])[N]
registrieren	((Register)[N],(ier)[V|N.])[V]
Registrierung	(((Register)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
reglementarisch	((Reglement)[N],(arisch)[A|N.])[A]
reglementieren	((Reglement)[N],(ier)[V|N.])[V]
Reglementierung	(((Reglement)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
reglementmaessig	((Reglement)[N],(maessig)[A|N.])[A]
reglementwidrig	((Reglement)[N],(widrig)[A])[A]
Regler	(((Regel)[N])[V],(er)[N|V.])[N]
reglos	((reg)[V],(los)[A|V.])[A]
Reglung	(((Regel)[N])[V],(ung)[N|V.])[N]
regnen	(regn)[V]
Regner	((regn)[V],(er)[N|V.])[N]
regnerisch	((regn)[V],(erisch)[A|V.])[A]
Regression	((Regress)[N],(ion)[N|N.])[N]
regressiv	((Regress)[N],(iv)[A|N.])[A]
regsam	((reg)[V],(sam)[A|V.])[A]
Regsamkeit	(((reg)[V],(sam)[A|V.])[A],(keit)[N|A.])[N]
regulaer	((Regel)[N],(ar)[A|N.])[A]
Regularitaet	(((Regel)[N],(ar)[A|N.])[A],(itaet)[N|A.])[N]
Regulation	(((Regel)[N])[V],(ation)[N|V.])[N]
regulativ	(((Regel)[N])[V],(ativ)[A|V.])[A]
Regulativ	((Regel)[N],(ativ)[N|N.])[N]
Regulator	(((Regel)[N])[V],(ator)[N|V.])[N]
regulieren	((Regel)[N],(ier)[V|N.])[V]
Regulierung	(((Regel)[N],(ier)[V|N.])[V],(ung)[N|V.])[N]
Regung	((reg)[V],(ung)[N|V.])[N]
regungslos	(((reg)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Regungslosigkeit	((((reg)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A],(igkeit)[N|A.])[N]
Reh	(Reh)[N]
Rehabilitation	((rehabilit)[R],(ation)[N|R.])[N]
rehabilitieren	((rehabilit)[R],(ier)[V|R.])[V]
Rehabilitierung	(((rehabilit)[R],(ier)[V|R.])[V],(ung)[N|V.])[N]
Rehbein	((Reh)[N],(Bein)[N])[N]
rehbraun	((Reh)[N],(braun)[A])[A]
rehfarben	((Reh)[N],(Farbe)[N],(n)[A|NN.])[A]
rehfarbig	((Reh)[N],((Farbe)[N],(ig)[A|N.])[A])[A]
Rehkitz	((Reh)[N],(Kitz)[N])[N]
rehledern	((Reh)[N],(Leder)[N],(n)[A|NN.])[A]
Rehruecken	((Reh)[N],(Ruecken)[N])[N]
reiben	(reib)[V]
reibbar	((reib)[V],(bar)[A|V.])[A]
Reibe	((reib)[V],(e)[N|V.])[N]
Reibeisen	((reib)[V],(Eisen)[N])[N]
Reibekuchen	((reib)[V],(e)[N|V.N],(Kuchen)[N])[N]
Reibelaut	((reib)[V],(e)[N|V.N],(((laut)[A])[V])[N])[N]
Reiber	((reib)[V],(er)[N|V.])[N]
Reiberei	((reib)[V],(erei)[N|V.])[N]
Reibflaeche	((reib)[V],((flach)[A],(e)[N|A.])[N])[N]
Reibung	((reib)[V],(ung)[N|V.])[N]
reibungslos	(((reib)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Reibungswiderstand	(((reib)[V],(ung)[N|V.])[N],(s)[N|N.N],(((wider)[P],(steh)[V])[V])[N])[N]
reichen	(reich)[V]
reich	(reich)[A]
Reich	(Reich)[N]
reichbeguetert	((reich)[A],((be)[A|.Nx],((gut)[A])[N],(ert)[A|xN.])[A])[A]
reichhaltig	((reich)[A],(haltig)[A|A.])[A]
Reichhaltigkeit	(((reich)[A],(haltig)[A|A.])[A],(keit)[N|A.])[N]
reichlich	((reich)[A],(lich)[A|A.])[A]
Reichsadler	((Reich)[N],(s)[N|N.N],(Adler)[N])[N]
Reichskanzler	((Reich)[N],(s)[N|N.N],((Kanzel)[N],(er)[N|N.])[N])[N]
Reichsmark	((Reich)[N],(s)[N|N.N],(Mark)[N])[N]
Reichspraesident	((Reich)[N],(s)[N|N.N],((praesid)[R],(ent)[N|R.])[N])[N]
Reichstag	((Reich)[N],(s)[N|N.N],(Tag)[N])[N]
Reichswehr	((Reich)[N],(s)[N|N.N],((wehr)[V])[N])[N]
Reichtum	((reich)[A],(tum)[N|A.])[N]
reichverziert	((reich)[A],(verziert)[F])[A]
Reichweite	((reich)[V],((weite)[F])[N])[N]
reif	(reif)[A]
reifen	(reif)[V]
Reif	(Reif)[N]
Reife	((Reife)[F])[N]
Reifen	((Reif)[N],(en)[N|N.])[N]
Reifepruefung	(((Reife)[F])[N],(pruef)[V],(ung)[N|NV.])[N]
Reifezeit	((reif)[V],(e)[N|V.N],(Zeit)[N])[N]
Reifezeugnis	(((Reife)[F])[N],((zeug)[V],(nis)[N|V.])[N])[N]
Reifung	((reif)[V],(ung)[N|V.])[N]
Reifungsprozess	(((reif)[V],(ung)[N|V.])[N],(s)[N|N.N],(Prozess)[N])[N]
Reigen	(Reigen)[N]
Reigentanz	((Reigen)[N],(Tanz)[N])[N]
reihen	(reih)[V]
Reihe	((reih)[V],(e)[N|V.])[N]
Reihen	(Reihen)[N]
Reihenfolge	(((reih)[V],(e)[N|V.])[N],(n)[N|N.N],((folg)[V],(e)[N|V.])[N])[N]
reihenweise	(((reih)[V],(e)[N|V.])[N],(n)[B|N.x],(weise)[B|Nx.])[B]
reihern	((Reiher)[N])[V]
Reiher	(Reiher)[N]
Reiherhorst	((Reiher)[N],(Horst)[N])[N]
Reiherschnabel	((Reiher)[N],(Schnabel)[N])[N]
Reihfaden	((reih)[V],(Faden)[N])[N]
Reihgarn	((reih)[V],(Garn)[N])[N]
reihum	(((reih)[V],(e)[N|V.])[N],(um)[P])[B]
Reihung	((reih)[V],(ung)[N|V.])[N]
reimen	(reim)[V]
Reim	(Reim)[N]
Reimart	((reim)[V],(Art)[N])[N]
Reimchronik	((reim)[V],(Chronik)[N])[N]
Reimer	((reim)[V],(er)[N|V.])[N]
Reimerei	((reim)[V],(erei)[N|V.])[N]
Reimlexikon	((reim)[V],(Lexikon)[N])[N]
reimlos	((Reim)[N],(los)[A|N.])[A]
reimweise	((Reim)[N],(weise)[B])[B]
Reimwort	((reim)[V],(Wort)[N])[N]
rein	(rein)[A]
Rein	(Rein)[N]
Reine	((rein)[A],(e)[N|A.])[N]
Reineinnahme	((rein)[A],(((ein)[V|.V],(nehm)[V])[V])[N])[N]
Reinemachefrau	(Reinemachefrau)[N]
Reinemachen	((rein)[A],(e)[N|A.F],(machen)[F])[N]
reinerbig	((rein)[A],(erb)[V],(ig)[A|AV.])[A]
Reinerloes	((rein)[A],(((er)[V|.V],((los)[B])[V])[V])[N])[N]
Reinertrag	((rein)[A],(((er)[V|.V],(trag)[V])[V])[N])[N]
reineweg	((rein)[A],(e)[B|A.x],(weg)[B|Ax.])[B]
Reinfall	(Reinfall)[N]
Reinfektion	((re)[N|.N],((Infekt)[N],(ion)[N|N.])[N])[N]
Reingewicht	((rein)[A],((ge)[N|.Vx],(wieg)[V],(t)[N|xV.])[N])[N]
Reingewinn	((rein)[A],((gewinn)[V])[N])[N]
reingolden	((rein)[A],((Gold)[N],(en)[A|N.])[A])[A]
Reinhaltung	((rein)[A],(halt)[V],(ung)[N|AV.])[N]
Reinheit	((rein)[A],(heit)[N|A.])[N]
reinigen	((rein)[A],(ig)[V|A.])[V]
Reiniger	(((rein)[A],(ig)[V|A.])[V],(er)[N|V.])[N]
Reinigung	(((rein)[A],(ig)[V|A.])[V],(ung)[N|V.])[N]
Reinigungsmilch	((((rein)[A],(ig)[V|A.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Milch)[N])[N]
Reinigungsmittel	((((rein)[A],(ig)[V|A.])[V],(ung)[N|V.])[N],(s)[N|N.N],(Mittel)[N])[N]
Reinkarnation	((re)[N|.N],((inkarn)[R],(ation)[N|R.])[N])[N]
reinkommen	((rein)[B],(komm)[V])[V]
Reinkultur	((rein)[A],(Kultur)[N])[N]
reinlegen	((rein)[B],(leg)[V])[V]
reinleinen	((rein)[A],(leinen)[F])[A]
reinlich	((rein)[A],(lich)[A|A.])[A]
Reinlichkeit	(((rein)[A],(lich)[A|A.])[A],(keit)[N|A.])[N]
reinlichkeitsliebend	((((rein)[A],(lich)[A|A.])[A],(keit)[N|A.])[N],(s)[A|N.F],(liebend)[F])[A]
Reinmachefrau	(Reinmachefrau)[N]
Reinmachen	((rein)[A],(machen)[F])[N]
reinrassig	((rein)[A],((Rasse)[N],(ig)[A|N.])[A])[A]
Reinrassigkeit	(((rein)[A],((Rasse)[N],(ig)[A|N.])[A])[A],(keit)[N|A.])[N]
reinschauen	((rein)[B],(schau)[A])[V]
Reinschiff	((rein)[A],(Schiff)[N])[N]
Reinschrift	((rein)[A],(Schrift)[N])[N]
reinschriftlich	(((rein)[A],(Schrift)[N])[N],(lich)[B|N.])[B]
reinseiden	((rein)[A],((Seide)[N],(n)[A|N.])[A])[A]
reinsilbern	((rein)[A],((Silber)[N],(n)[A|N.])[A])[A]
Reinvermoegen	((rein)[A],((vermoegen)[F])[N])[N]
reinwaschen	((rein)[A],(wasch)[V])[V]
reinweg	((rein)[B],(weg)[B|B.])[B]
Reinzucht	((rein)[A],((zieh)[V])[N])[N]
reisen	(reis)[V]
Reis	(Reis)[N]
Reis	(Reis)[N]
Reisbau	((Reis)[N],((bau)[V])[N])[N]
Reisbesen	((Reis)[N],(Besen)[N])[N]
Reisbranntwein	((Reis)[N],(Branntwein)[N])[N]
Reisbrei	((Reis)[N],(Brei)[N])[N]
Reischen	((Reis)[N],(chen)[N|N.])[N]
Reise	((reis)[V],(e)[N|V.])[N]
Reiseapotheke	(((reis)[V],(e)[N|V.])[N],(Apotheke)[N])[N]
Reisebegleiter	(((reis)[V],(e)[N|V.])[N],((be)[V|.V],((ge)[V|.V],(leit)[V])[V])[V],(er)[N|NV.])[N]
Reisebericht	(((reis)[V],(e)[N|V.])[N],(((be)[V|.V],(richt)[V])[V])[N])[N]
Reisebeschreibung	(((reis)[V],(e)[N|V.])[N],((be)[V|.V],(schreib)[V])[V],(ung)[N|NV.])[N]
Reisebuero	(((reis)[V],(e)[N|V.])[N],(Buero)[N])[N]
reisefertig	((reis)[V],(e)[A|V.A],(fertig)[A])[A]
Reisefieber	(((reis)[V],(e)[N|V.])[N],(Fieber)[N])[N]
Reisefuehrer	(((reis)[V],(e)[N|V.])[N],(fuehr)[V],(er)[N|NV.])[N]
Reisegeld	((reis)[V],(e)[N|V.N],(Geld)[N])[N]
Reisegepaeck	((reis)[V],(e)[N|V.N],((ge)[N|.N],(Pack)[N])[N])[N]
Reisegesellschaft	((reis)[V],(e)[N|V.N],((gesell)[V],(schaft)[N|V.])[N])[N]
Reiselektuere	(((reis)[V],(e)[N|V.])[N],(Lektuere)[N])[N]
reiselustig	((reis)[V],(e)[A|V.A],((Lust)[N],(ig)[A|N.])[A])[A]
Reisende	((Reisende)[F])[N]
Reiseonkel	((reis)[V],(e)[N|V.N],(Onkel)[N])[N]
Reisepass	((reis)[V],(e)[N|V.N],(Pass)[N])[N]
reisern	((Reis)[N],(er)[V|N.])[V]
Reiserbesen	((Reis)[N],(er)[N|N.N],(Besen)[N])[N]
Reiserei	((reis)[V],(erei)[N|V.])[N]
Reiseroute	((reis)[V],(e)[N|V.N],(Route)[N])[N]
Reisescheck	(((reis)[V],(e)[N|V.])[N],(Scheck)[N])[N]
Reiseschilderung	(((reis)[V],(e)[N|V.])[N],((Schild)[N],(er)[V|N.])[V],(ung)[N|NV.])[N]
Reiseschreibmaschine	(((reis)[V],(e)[N|V.])[N],((schreib)[V],(Maschine)[N])[N])[N]
Reiseverkehr	((reis)[V],(e)[N|V.N],(((ver)[V|.V],(kehr)[V])[V])[N])[N]
Reisewetter	(((reis)[V],(e)[N|V.])[N],(Wetter)[N])[N]
Reisezeit	((reis)[V],(e)[N|V.N],(Zeit)[N])[N]
Reiseziel	(((reis)[V],(e)[N|V.])[N],(Ziel)[N])[N]
Reisfeld	((Reis)[N],(Feld)[N])[N]
Reisholz	((Reis)[N],(Holz)[N])[N]
reisig	(((reis)[V],(e)[N|V.])[N],(ig)[A|N.])[A]
Reisig	((Reis)[N],(ig)[N|N.])[N]
Reisigbesen	(((Reis)[N],(ig)[N|N.])[N],(Besen)[N])[N]
Reisigbuendel	(((Reis)[N],(ig)[N|N.])[N],(((bind)[V])[N],(el)[N|N.])[N])[N]
Reisigholz	(((Reis)[N],(ig)[N|N.])[N],(Holz)[N])[N]
Reiskorn	((Reis)[N],(Korn)[N])[N]
Reislauf	(((reis)[V],(e)[N|V.])[N],((lauf)[V])[N])[N]
Reislaeufer	((((reis)[V],(e)[N|V.])[N],((lauf)[V])[N])[N],(er)[N|N.])[N]
Reislein	((Reis)[N],(lein)[N|N.])[N]
Reispapier	((Reis)[N],(Papier)[N])[N]
reissen	(reiss)[V]
Reissaus	(Reissaus)[N]
Reissbahn	((reiss)[V],(Bahn)[N])[N]
Reissblei	((reiss)[V],(Blei)[N])[N]
Reissbrett	((reiss)[V],(Brett)[N])[N]
Reisschleim	((Reis)[N],(Schleim)[N])[N]
Reisschnaps	((Reis)[N],(Schnaps)[N])[N]
Reissen	((reiss)[V],(en)[N|V.])[N]
Reisser	((reiss)[V],(er)[N|V.])[N]
reisserisch	(((reiss)[V],(er)[N|V.])[N],(isch)[A|N.])[A]
Reissfeder	((reiss)[V],(Feder)[N])[N]
reissfest	((reiss)[V],(fest)[A|V.])[A]
